MultiClassConvolutionalTsetlinMachine2D,3D,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16,Epoch17,Epoch18,Epoch19,Epoch20,Epoch21,Epoch22,Epoch23,Epoch24,Epoch25,Epoch26,Epoch27,Epoch28,Epoch29,Epoch30,Epoch31,Epoch32,Epoch33,Epoch34,Epoch35,Epoch36,Epoch37,Epoch38,Epoch39,Epoch40,Epoch41,Epoch42,Epoch43,Epoch44,Epoch45,Epoch46,Epoch47,Epoch48,Epoch49,Epoch50,
Settings:
Clauses:,2000.0
Threshold:,8800.0
S:,27.0
Window_X:,5.0
Window_Y:,5.0
Shape_X:,7.0
Shape_Y:,6.0
Shape_Z:,2.0
nodraw0,,83.5406,85.2012,86.1966,86.9069,87.4607,87.8954,88.2269,88.4817,88.7380,88.9349,89.0885,89.2438,89.3690,89.5054,89.6259,89.7456,89.8483,89.9524,90.0481,90.1350,90.2284,90.3134,90.3867,90.4757,90.5366,90.6086,90.6638,90.7185,90.7711,90.8268,90.8794,90.9282,90.9755,91.0307,91.0803,91.1240,91.1636,91.2015,91.2404,91.2721,91.3014,91.3211,91.3434,91.3735,91.3980,91.4288,91.4528,91.4744,91.4975,91.5200
nodraw1,,83.0170,84.5468,85.5639,86.2525,86.7997,87.2791,87.6659,88.0256,88.3326,88.6109,88.8461,89.0543,89.2456,89.4365,89.6008,89.7323,89.8628,89.9905,90.0937,90.2078,90.3087,90.4026,90.4984,90.5780,90.6420,90.7162,90.7880,90.8500,90.9065,90.9670,91.0219,91.0765,91.1302,91.1779,91.2205,91.2608,91.3073,91.3427,91.3822,91.4165,91.4554,91.4886,91.5256,91.5632,91.5983,91.6284,91.6544,91.6789,91.7035,91.7349
nodraw2,,81.9045,84.1296,85.3349,86.0848,86.6623,87.1101,87.5187,87.8579,88.1490,88.4179,88.6661,88.8621,89.0279,89.1992,89.3379,89.4869,89.6048,89.7133,89.8147,89.9141,90.0033,90.0814,90.1491,90.2167,90.2834,90.3431,90.4020,90.4649,90.5268,90.5825,90.6308,90.6736,90.7172,90.7588,90.7970,90.8413,90.8788,90.9135,90.9468,90.9804,91.0157,91.0461,91.0801,91.1080,91.1355,91.1663,91.1969,91.2276,91.2524,91.2765
nodraw3,,83.2106,84.9615,86.0961,86.8679,87.4390,87.8989,88.3045,88.6312,88.8871,89.1131,89.3292,89.5094,89.6693,89.8240,89.9558,90.0906,90.1970,90.2953,90.3883,90.4803,90.5720,90.6435,90.7117,90.7810,90.8375,90.8916,90.9495,91.0022,91.0523,91.1018,91.1413,91.1870,91.2304,91.2742,91.3084,91.3394,91.3660,91.3982,91.4232,91.4482,91.4800,91.5040,91.5330,91.5603,91.5795,91.6103,91.6335,91.6547,91.6721,91.6910
nodraw4,,83.0142,84.6834,85.7306,86.4916,87.0627,87.4980,87.8884,88.1893,88.4616,88.6860,88.8919,89.0812,89.2313,89.3810,89.5380,89.6713,89.7995,89.9262,90.0275,90.1317,90.2292,90.2873,90.3744,90.4687,90.5521,90.6178,90.6810,90.7304,90.7888,90.8384,90.9006,90.9400,90.9894,91.0364,91.0901,91.1289,91.1639,91.2014,91.2390,91.2686,91.3028,91.3283,91.3598,91.3870,91.4166,91.4445,91.4713,91.4996,91.5242,91.5490
nodraw5,,83.8789,85.7774,86.8685,87.5082,88.0196,88.4179,88.7608,89.0160,89.2562,89.4550,89.6384,89.7831,89.9005,90.0023,90.1113,90.2240,90.3100,90.3955,90.4608,90.5426,90.6118,90.6673,90.7337,90.7856,90.8380,90.8895,90.9505,91.0001,91.0458,91.0813,91.1208,91.1579,91.1948,91.2275,91.2556,91.2916,91.3230,91.3515,91.3874,91.4153,91.4443,91.4652,91.4916,91.5117,91.5294,91.5530,91.5684,91.5838,91.6039,91.6236
nodraw6,,82.7987,84.5254,85.5974,86.4362,87.0769,87.5532,87.9027,88.2283,88.5506,88.7938,89.0016,89.1817,89.3592,89.5230,89.6607,89.7698,89.8720,89.9827,90.0775,90.1800,90.2572,90.3325,90.4163,90.4719,90.5460,90.6119,90.6656,90.7254,90.7783,90.8347,90.8812,90.9349,90.9855,91.0330,91.0727,91.1029,91.1395,91.1741,91.2090,91.2467,91.2746,91.3070,91.3337,91.3607,91.3941,91.4157,91.4396,91.4641,91.4900,91.5136
nodraw7,,83.3879,85.0164,86.0556,86.8331,87.4370,87.9160,88.2347,88.5536,88.7998,89.0376,89.2576,89.4558,89.6286,89.7826,89.9465,90.0880,90.2041,90.3019,90.3971,90.4943,90.5736,90.6606,90.7415,90.8163,90.8786,90.9379,90.9905,91.0445,91.0971,91.1533,91.2006,91.2367,91.2806,91.3180,91.3547,91.3830,91.4093,91.4416,91.4738,91.5065,91.5409,91.5657,91.5883,91.6155,91.6454,91.6747,91.6899,91.7113,91.7372,91.7545
nodraw8,,83.4861,85.0000,85.8702,86.6367,87.1882,87.6378,88.0079,88.2815,88.5634,88.7921,89.0121,89.2049,89.3844,89.5523,89.6869,89.8261,89.9451,90.0536,90.1585,90.2308,90.3227,90.4047,90.4789,90.5476,90.6056,90.6717,90.7359,90.7990,90.8528,90.8963,90.9493,91.0014,91.0524,91.0946,91.1354,91.1743,91.2116,91.2499,91.2791,91.3179,91.3532,91.3853,91.4140,91.4470,91.4777,91.5100,91.5318,91.5623,91.5866,91.6124
nodraw9,,82.7660,84.5499,85.5537,86.3175,86.9460,87.4141,87.8209,88.1813,88.4288,88.6956,88.8990,89.0944,89.2811,89.4505,89.5919,89.7156,89.8440,89.9545,90.0543,90.1408,90.2369,90.3244,90.3956,90.4678,90.5368,90.6018,90.6741,90.7242,90.7839,90.8325,90.8907,90.9452,91.0048,91.0600,91.1097,91.1484,91.1912,91.2361,91.2711,91.3020,91.3193,91.3534,91.3851,91.4034,91.4301,91.4534,91.4772,91.4921,91.5191,91.5398
